they | they | person:Pronoun | arrested | arrest | Michael Stewart | Michael Stewart | person:Stanford
nothing | nothing |  | will be forgotten in | be forget in | the trauma of a loss | trauma | 
the claimed furniture | furniture |  | may help to provide | help to provide | a guideline | guideline | 
appliances and other goods | appliance | device:WordNet | may help to provide | help to provide | a guideline | guideline | 
it | it |  | may help to provide | help to provide | a guideline | guideline | 
the claimed furniture | furniture |  | to provide | to provide | a guideline | guideline | 
appliances and other goods | appliance | device:WordNet | to provide | to provide | a guideline | guideline | 
it | it |  | to provide | to provide | a guideline | guideline | 
''It | ''It |  | 's up to the policyholder to lend | be to policyholder to lend | an air of credibility | air | 
Timothy Householder | Timothy Householder | person:Stanford | be general adjuster for | be adjuster for | the Kemper Group | Kemper Group | organization:Stanford
you | you | person:Pronoun | make | make | an inventory | inventory | 
it | it |  | lends | lend | a lot of credibility | credibility | 
it | it |  | lends of | lend of | credibility | credibility | 
It | It |  | 's mostly | be | a common sense sort of approach | sort | 
It | It |  | 's mostly a common sense sort of | be sense sort of | approach | approach | activity:WordNet
A detailed list of the various articles in the home , the purchase date and the purchase price | list |  | can be prepared The identification number on appropriate property , such as stereos or refrigerators in | be prepare identification number on property , as stereo refrigerator in | advance | advance | 
A detailed list of the various articles in the home , the purchase date and the purchase price | list |  | can be prepared The identification number on appropriate property , such as stereos or refrigerators by | be prepare identification number on property , as stereo refrigerator by | individuals | individual | person:WordNet
A detailed list of the various articles in the home , the purchase date and the purchase price | list |  | can be prepared | be prepare | The identification number | number | number:WordNet
some homeowners | homeowner | person:WordNet | use to simplify | use to simplify | the preparation of this list | preparation | activity:WordNet
some policyholders | policyholder | person:WordNet | have started using | start use | photographs , audio tapes or videotapes | photograph | 
individuals | individual | person:WordNet | can buttress | buttress | their claims | claim | 
individuals | individual | person:WordNet | can buttress their claims with | buttress claim with | a graphic record | record | 
Such photographing | photographing |  | moreover can be done either by | be do by | the policyholder or by | policyholder | person:WordNet
a professional concern | concern |  | be hired for | be hire for | the project | project | activity:WordNet
Receipts and other supporting documents | Receipts |  | should be kept along with | be keep along with | the inventory | inventory | 
Receipts and other supporting documents | Receipts |  | should be kept along as | be keep along as | further proof of purchase | proof | 
he | he | person:Pronoun | keeps | keep | a receipt | receipt | 
The biggest shock | shock |  | that most people have is not realizing | that people be realize | the true value of their personal property | value | 
Jean Baulis | Jean Baulis | person:Stanford | be assistant vice president of | be vice president of | the Fireman 's Fund Insurance Companies | Companies | organization:WordNet
The photograph | photograph |  | shows | show | the adjuster | adjuster | person:WordNet
it | it |  | did n't come from | come from | Penney | Penney | location:Stanford
it | it |  | came from | come from | Tiffany | Tiffany | location:Stanford
it | it |  | came to | come to | Tiffany | Tiffany | location:Stanford
type of inventory | type |  | is compiled However as | be compile as | a safe deposit box | box | 
the original | original |  | be kept in | be keep in | a secure location | location | location:WordNet
the original | original |  | be kept outside | be keep outside | the home | home | location:WordNet
A copy | copy |  | might be retained at | be retain at | home | home | location:WordNet
the original record | record |  | is stored in | be store in | a house or apartment | house | structure:WordNet,building:WordNet
it | it |  | should be held in | be hold in | a fire-resistant safe or storage chest that is Underwriters Laboratories rated for fire protection | safe | 
it | it |  | should be held at | be hold at | a fire-resistant safe or storage chest that is Underwriters Laboratories rated for fire protection | safe | 
Underwriters Laboratories | Underwriters Laboratories |  | rated for | rate for | fire protection | protection | activity:WordNet
either actual cash value representing the replacement cost of an item minus depreciation , or replacement cost | cost |  | representing the replacement cost at | represent replacement cost at | current prices | price | 
most policies | policy |  | provide | provide | compensation | compensation | 
individuals | individual | person:WordNet | are choosing | be choose | the alternative of replacement cost | alternative | 
you | you | person:Pronoun | would receive $ 400 - or 50 percent of $ 800 - in the event of a loss with | receive $ - percent of $ - in event of loss with | replacement cost insurance | insurance | 
a home | home | location:WordNet | be used for | be use for | business purposes | purpose | 
individuals | individual | person:WordNet | can buy | buy | an endorsement | endorsement | 
individuals | individual | person:WordNet | can buy an endorsement to | buy endorsement to | their homeowners policy | policy | 
A deductible loss | loss |  | is generally | be | the difference | difference | 
A deductible loss | loss |  | is generally the difference between | be difference between | the market value of the item | value | 
the difference | difference |  | must also be reduced by | be reduce by | 10 percent of adjusted gross income | income | amount:WordNet
the loss , minus insurance reimbursements and $ 100 . Furthermore , the amount that can be deducted | loss |  | must also be reduced by | be reduce by | 10 percent of adjusted gross income | income | amount:WordNet
The Devils | Devils |  | built then | build | a three-goal lead | lead | 
The victory | victory |  | lifted | lift | the Devils | Devils | 
The victory | victory |  | lifted the Devils into | lift Devils into | fourth place | place | location:WordNet
The Devils | Devils |  | were outshot by | be outshoot by | 39-21 | 39-21 | number:NUM
They | They | person:Pronoun | took | take | a 2-0 lead | lead | 
They | They | person:Pronoun | took a 2-0 lead on first-period goals by | take lead on goal by | McNab | McNab | person:Stanford
They | They | person:Pronoun | took a 2-0 lead on first-period goals at | take lead on goal at | 7 minutes 7 seconds | seconds | time_unit:WordNet,time:Stanford
They | They | person:Pronoun | took a 2-0 lead on first-period goals to | take lead on goal to | 7 minutes 7 seconds | seconds | time_unit:WordNet,time:Stanford
